"channel_title","views","category","Channel.Video"
"Sargon of Akkad",341134,"News & Politics","Video"
"BellatorMMA",1107916,"Sports","Video"
"RadaanMedia",170707,"Entertainment","Video"
"OfficialGucciMane",946859,"Music","Video"
"Wisecrack",275669,"Education","Video"
"Chris Smoove",650469,"Sports","Video"
"Daniil le Russe",482153,"Comedy","Video"
"WatchMojo.com",211868,"Entertainment","Video"
"Zvezde Granda",496192,"Entertainment","Video"
"Cow Chop",375652,"Gaming","Video"
"Taylor Phelan",35401,"Music","Video"
"JustKiddingParty",190106,"Entertainment","Video"
"Ayoub Hamraoui",265303,"Sports","Video"
"DashieGames",219605,"Gaming","Video"
"Unbox Therapy",2742984,"Science & Technology","Video"
"President Trump",93198,"News & Politics","Video"
"BRIGHT SIDE",721270,"Howto & Style","Video"
"Reaction Time",778516,"Entertainment","Video"
"THIRU TV",117022,"Entertainment","Video"
"Troydon bent",16921,"Music","Video"
"Alena TV",174130,"Entertainment","Video"
"Michelle 1",107331,"People & Blogs","Video"
"Simply Nailogical",1842393,"Entertainment","Video"
"NutritionFacts.org",27910,"Science & Technology","Video"
"Dr Bot",1388115,"Education","Video"
"Mark Wiens",161971,"Travel & Events","Video"
"lHeadHunterl",12603,"People & Blogs","Video"
"ARY Digital",403223,"Entertainment","Video"
"CaptainSparklez",248993,"Entertainment","Video"
"On n'est pas couché",122282,"Entertainment","Video"
"Bart Baker",943626,"Comedy","Video"
"郭寶勝政論",64386,"News & Politics","Video"
"Troom Troom FR",549498,"Howto & Style","Video"
"AFP news agency",58675,"News & Politics","Video"
"Three Sisters Trio",13293,"People & Blogs","Video"
"Info Press",624328,"Sports","Video"
"Tasty",694624,"Howto & Style","Video"
"Trash",294947,"Entertainment","Video"
"tayyar.org",40454,"News & Politics","Video"
"Comedy Central UK",291697,"Comedy","Video"
"HALIRIPA",635236,"People & Blogs","Video"
"NowThis World",544770,"News & Politics","Video"
"Late Night with Seth Meyers",1547309,"Comedy","Video"
"Vlogdad Greg Paul",387351,"Comedy","Video"
"Sorrow TV",235156,"People & Blogs","Video"
"江森哲",85127,"News & Politics","Video"
"Eat Bulaga!",226051,"Entertainment","Video"
"FORMULA 1",758492,"Sports","Video"
"TellyMasala",632747,"Entertainment","Video"
"Act Now 2017",29616,"News & Politics","Video"
"Lauradalinda",10037,"Comedy","Video"
"Simon and Martina",212040,"Travel & Events","Video"
"Amplex",157289,"Entertainment","Video"
"Markiplier",236040,"Comedy","Video"
"HipHop Sounds",1237072,"Music","Video"
"Россия 24",318474,"Entertainment","Video"
"iDubbbzTV",2649977,"Comedy","Video"
"TechSmartt",1836419,"Science & Technology","Video"
"The Tonight Show Starring Jimmy Fallon",1611093,"Comedy","Video"
"Jimmy Kimmel Live",2765121,"Comedy","Video"
"BostonDynamics",3701763,"Science & Technology","Video"
"Brent Pella",462490,"Comedy","Video"
"JunsKitchen",977285,"Howto & Style","Video"
"StarCraft",445043,"Gaming","Video"
"The Slow Mo Guys",1529652,"Entertainment","Video"
"Philip DeFranco",971117,"Entertainment","Video"
"Binging with Babish",853635,"Entertainment","Video"
"Late Night with Seth Meyers",1503131,"Comedy","Video"
"EminemVEVO",20539417,"Music","Video"
"LastWeekTonight",555499,"Entertainment","Video"
"Le Jeu, C'est Sérieux",443131,"Comedy","Video"
"Good Mythical Morning",754502,"Entertainment","Video"
"CaseyNeistat",2188675,"People & Blogs","Video"
"Rudy Mancuso",4326684,"Comedy","Video"
"The Late Show with Stephen Colbert",1025278,"Entertainment","Video"
"Cards Against Humanity",295217,"Comedy","Video"
"NELK",340175,"Comedy","Video"
"FlyReefVEVO",15537,"Music","Video"
"CBC NL - Newfoundland and Labrador",16337,"News & Politics","Video"
"Cut",459497,"Entertainment","Video"
"5-Minute Crafts",4752153,"Howto & Style","Video"
"nigahiga",2508912,"Entertainment","Video"
"Anwar Jibawi",983365,"Comedy","Video"
"TV Shows",237611,"People & Blogs","Video"
"Comedy Central UK",79246,"Comedy","Video"
"Lowe's Home Improvement",260276,"Howto & Style","Video"
"TV Classics",15800,"People & Blogs","Video"
"Amar Audio",1928003,"Music","Video"
"Amixem",990009,"Comedy","Video"
"REACT",863116,"Entertainment","Video"
"ExplosmEntertainment",680801,"Comedy","Video"
"WWE",2455165,"Sports","Video"
"Good Mythical MORE",172461,"Entertainment","Video"
"TODAY",293235,"News & Politics","Video"
"WOWPresents",271606,"Entertainment","Video"
"VanossGaming",3497179,"Comedy","Video"
"Federica Balsamo",187026,"Sports","Video"
"FBE",1231992,"Entertainment","Video"
"Sheikh Musa",580516,"People & Blogs","Video"
"麻辣变形计 HOT GIRL",74289,"People & Blogs","Video"
"Hong mei li",111491,"Entertainment","Video"
"The Graham Norton Show",391049,"Entertainment","Video"
"Speed Records",3164460,"Music","Video"
"Logan Paul Vlogs",4972464,"Entertainment","Video"
"Troom Troom",3897195,"Howto & Style","Video"
"RadaanMedia",303877,"Entertainment","Video"
"MSNBC",384635,"News & Politics","Video"
"Reflect",249090,"News & Politics","Video"
"The Voice",352054,"Entertainment","Video"
"21 Savage",5776317,"Music","Video"
"The king of DIY",128316,"Pets & Animals","Video"
"Angelina Merker",27497,"People & Blogs","Video"
"John Kuckian",115736,"News & Politics","Video"
"Vox",275726,"News & Politics","Video"
"Kumpletong Sangkap",107318,"News & Politics","Video"
"VikatanTV",591632,"Shows","Video"
"MTV International",1001985,"Entertainment","Video"
"JRE Clips",370423,"Comedy","Video"
"The Infographics Show",419965,"Education","Video"
"HUM TV",404217,"Entertainment","Video"
"TV Promos",70987,"Entertainment","Video"
"iJustine",758998,"Science & Technology","Video"
"Anthonys Digital Lifestyle Dotcom",11810,"People & Blogs","Video"
"NewsOne Pk",157049,"News & Politics","Video"
"Strictly Dumpling",148993,"Travel & Events","Video"
"What's Inside?",246591,"Education","Video"
"Philly D",198004,"People & Blogs","Video"
"The View",89444,"Entertainment","Video"
"nikiluvschocolate",61778,"Music","Video"
"Soeren Simon",48421,"Education","Video"
"TED-Ed",167426,"Education","Video"
"BuzzFeedBlue",1893816,"People & Blogs","Video"
"Dr Nozman",623627,"Science & Technology","Video"
"Ed Sheeran",39082222,"Music","Video"
"CrazyRussianHacker",1099318,"Science & Technology","Video"
"ESPN",545806,"Sports","Video"
"Jass Records",810533,"Music","Video"
"Marques Brownlee",577618,"Science & Technology","Video"
"Jaboody Dubs",133345,"Comedy","Video"
"MLG Highlights",2010343,"Sports","Video"
"MoreZoella",446733,"People & Blogs","Video"
"Breakfast Club Power 105.1 FM",166512,"Entertainment","Video"
"Canada Soccer",41029,"Sports","Video"
"CollegeHumor",187643,"Comedy","Video"
"CBC News",10093,"News & Politics","Video"
"Team Edge",560691,"Comedy","Video"
"Last Tonight Week",33754,"Gaming","Video"
"Lieutenants Loft",913840,"People & Blogs","Video"
"Rebel Media",29014,"News & Politics","Video"
"Todd in the Shadows",55192,"People & Blogs","Video"
"Frank May",399491,"Comedy","Video"
"The Young Turks",76484,"News & Politics","Video"
"Heartland",15431,"Entertainment","Video"
"The Q",4734409,"People & Blogs","Video"
"Jake Paul",5156718,"People & Blogs","Video"
"ABS-CBN Entertainment",668826,"Entertainment","Video"
"A&E",136789,"Entertainment","Video"
"Reaction Time",334598,"Entertainment","Video"
"Graham The Christian",523181,"Comedy","Video"
"Food Wishes",49231,"Howto & Style","Video"
"HigaTV",418230,"Entertainment","Video"
"Whistler Blackcomb",4851,"Sports","Video"
"AlDUB",96334,"Entertainment","Video"
"The Interview",66438,"People & Blogs","Video"
"我愛小明星大跟班",104643,"Entertainment","Video"
"All India Bakchod",567803,"Comedy","Video"
"TheEllenShow",347848,"Entertainment","Video"
"Wendy Williams",391642,"Entertainment","Video"
"Unbox Therapy",1663206,"Science & Technology","Video"
"Smosh",405955,"Comedy","Video"
"aljadeedonline",286273,"News & Politics","Video"
"ĐÔNG TÂY PROMOTION OFFICIAL",1544710,"Entertainment","Video"
"mart lat",16825,"Entertainment","Video"
"Lama Faché",815179,"Entertainment","Video"
"VisionTimeTamil",109639,"Entertainment","Video"
"Hey Yolo",249735,"Music","Video"
"Elhiwar Ettounsi",45662,"Entertainment","Video"
"Mighty Car Mods",214480,"Autos & Vehicles","Video"
"The King of Random",533561,"Education","Video"
"Listen to this also",198666,"Comedy","Video"
"Destroying The Illusion",52967,"People & Blogs","Video"
"Brat",1013926,"Entertainment","Video"
"JTBC News",124697,"News & Politics","Video"
"Protein Treats",6236,"Howto & Style","Video"
"Marodi TV Sénégal",339499,"Entertainment","Video"
"LifeAccordingToJimmy",185267,"Comedy","Video"
"CarManiaMx",37857,"Autos & Vehicles","Video"
"Markiplier",697151,"Comedy","Video"
"salt",179243,"Comedy","Video"
"Valk Aviation",571588,"Travel & Events","Video"
"Pilipinas Updates",166458,"Autos & Vehicles","Video"
"Bamb Beats",1215475,"Music","Video"
"ZIAS!",643350,"Entertainment","Video"
"中天電視",203345,"Entertainment","Video"
"amc",102591,"Entertainment","Video"
"Football Highlights & Goals",584612,"Sports","Video"
"Daniil le Russe",860583,"Comedy","Video"
"Слуга народа",437979,"Shows","Video"
"炮座新观察【各路嘉宾 每日热评】",37593,"News & Politics","Video"
"BuzzFeedVideo",4200230,"People & Blogs","Video"
"excelmovies",5792827,"Entertainment","Video"
"NFL",1012191,"Sports","Video"
"Mikey Chen",116314,"People & Blogs","Video"
"Joueur Du Grenier",1088925,"Gaming","Video"
"Last Week Tonight Season 5",30843,"Comedy","Video"
"Act Now 2017",51102,"News & Politics","Video"
"Hamish & Andy",149138,"Comedy","Video"
"Fox News",58633,"News & Politics","Video"
"FaZe Adapt",639326,"People & Blogs","Video"
"NAV",1670638,"Music","Video"
"The Late Late Show with James Corden",86797,"Entertainment","Video"
"Showbiz Tsismis",250174,"Entertainment","Video"
"T-Series Apna Punjab",1562510,"Music","Video"
"Akashi Tv",474689,"Entertainment","Video"
"Chris Smoove",454790,"Sports","Video"
"TV Derana",289855,"Entertainment","Video"
"MMA WORLD",309388,"Sports","Video"
"Golden State Times",86826,"News & Politics","Video"
"PBS NewsHour",46905,"News & Politics","Video"
"Greg Guillotin - Nou",527677,"Comedy","Video"
